,user_id,name,screen_name,description,text,mentions
0,864373000627290112,이래경,rky1406,,"@yulchon 
분명 경고했으며  마약쟁이년과 일가 구속않고 계속 사고치고  매춘부들과 결탁시 해외사무실 폐쇄등 강력히 책임추궁 추진하겠음..","[{'screen_name': 'yulchon', 'name': 'Yulchon', 'id': 56312956, 'id_str': '56312956', 'indices': [0, 8]}]"
1,989995748824526848,🎗제이🧚🏻‍♀️,merryJ20,"얄궂은 선배님, 사심폭발 로망스, 깊이 스며드는 밤 등등",@yoon_soda 어른을 사직함.,"[{'screen_name': 'yoon_soda', 'name': '윤소다', 'id': 822434936112185346, 'id_str': '822434936112185346', 'indices': [0, 10]}]"
2,2495993827,강민영 Minyoung Kang,minyoung_kang_,"강민영 Minyoung Kang / 슈가(고양이)와 함께 사는 직장인. 취미로 기타도 치고, 드럼도 치고, 바이크도 탑니다. / Honda Grom MSX125🛵 (2020.09~)","원래 좋아하는 술 조합은 한국식 수산집 회 + 소맥, 중화요리 + 연태구냥/칭타오, 이자카야 야키토리 등등 + 하이볼(빨리 많이 마시기), 전 + 막걸리..

2차가는건 별로 안좋아한다. 요즘은 1차에서 존… https://t.co/rYL4USh1gQ",[]
3,892301654007074816,팅,ur_my_BT,이 미친 세상에 어디에 있더라도 행복해야해•••,그러기엔 모아노은 돈이 업는ㄷ,[]
4,1096865660083200000,코쓱이,Cossugi,22 / 귀여운게 좋아 / 리듬게임 자주합니다🕹 / 순천 그린피아 / 퇴근하고싶어 / SDVX / 퍼리 / 쿠키런 킹덤 / 💕@jbox_x,밤 산책 https://t.co/AmH3oXEzhU,[]
5,868971641929252864,봄이오나봄,AC09010902,"댕댕이의 매력에 빠져서 댕댕이 이마에서 수영중인 늦덕입니다..         
낭비한 2년의 시간 되돌리고 싶다..","우리의 막내 워뇨 꿀벌직캠이 500만
넘었어요!!!! 600만도 가자!!!!!! https://t.co/Bu4PWQHJiE",[]
6,142025445,Noah,nobe0716,🇰🇷👨‍💻☕️ 🍰,두피 상태가 악화일로,[]
7,892301654007074816,팅,ur_my_BT,이 미친 세상에 어디에 있더라도 행복해야해•••,ㅋㅋㅋㅋ 감자기 이렇게 와다다,[]
8,3020890165,랫서판다셍🐻,a_jin9103,1차 비엘 / 러브 오어 헤이트 야화첩 도수풀 혼불 죽마것 DASH 이방인 외사랑 비밀사이 레드캔디 백클업 후안무치,아 ㅈㄴ재밌다 ㅅㅂ https://t.co/yk4gLjUeBs,[]
9,200682540,연어밍🏳️‍⚧️,yeoncomi,"🇨🇦|🏳️‍🌈Q|NB|T🏳️‍⚧️ |P|KST|뒷계: @yeoncomi_bad|캐나다🦌|개발|빵도리|아다시마|#TransRightsAreHumanRights|Socialist, Leftie, NDP/NPD, Immigrant",슬퍼짐,[]
10,868971641929252864,봄이오나봄,AC09010902,"댕댕이의 매력에 빠져서 댕댕이 이마에서 수영중인 늦덕입니다..         
낭비한 2년의 시간 되돌리고 싶다..","원영아 꿀벌직캠 500만 돌파했어!!
너무너무 축하해!!!! 너무너무 보고싶다!! 
#원영메일 https://t.co/zAz6aesHc1",[]
11,1160514329646514176,감우님이 너무 예쁜 디에스,Deiess_Renewed,없으면 언젠가 꼬울 날이 온다,"내가 이 다중계정들로 뭘 했었나-

1. 떡극 자캐계정(절대다수)
2. 플텍썰계(3개뿐이야!)

이거밖에 없는데 너무 가혹해- 라고 불평하는건 트위터 본사 입장에선 도둑놈 심보려나",[]
12,873922898951454720,천지인,W5z8mkfAK7b5FGw,,"호두
호두파이
호평동카페
혜화맛집
호평동
합천
핫도그
행신동맛집행당
호빵맨
혜화
해남
호빵수세미
함평
핫바
함양
혜화역맛집
현아
호빵
행신
혜화역데이트
해산물
혜화카페
chemistry78845 https://t.co/F5HU09oKKl",[]
13,200682540,연어밍🏳️‍⚧️,yeoncomi,"🇨🇦|🏳️‍🌈Q|NB|T🏳️‍⚧️ |P|KST|뒷계: @yeoncomi_bad|캐나다🦌|개발|빵도리|아다시마|#TransRightsAreHumanRights|Socialist, Leftie, NDP/NPD, Immigrant",해줘해줘.... https://t.co/RbTrdqI5ap,[]
14,1160514329646514176,감우님이 너무 예쁜 디에스,Deiess_Renewed,없으면 언젠가 꼬울 날이 온다,"터트려야 하는데 귀찮아서 안 터트렸거나 잊어버려버린 계정들까지 합하면 지난 세월간 한 계정 30개 이상은 만들었을거 같기도 하고 ()

여튼 이번에 전화번호 및 이메일주소 공격으로 아주 맹공을 받았었다",[]
15,816956282930241536,온도,b_0412_0506,온리 6인 지지 특히 백현을 더 애정하는 25,안되겠어 오늘은 내 친구들한테 백현이 홍보할래ㅠㅠㅠㅠ 실친한테 잘 안 하는데 안되겠어.....,[]
16,178058794,카요르트,LeeGiHa,"성인 / 넓고 얕은 잡덕 / 바르고 고운말은 어려워요 / 존잘님들을 구독하고 있습니다 / 인용블언블ok / 소비.일상.욕트.우울트. / 투머치토커의 자기 얘기 TMI 폭격이 자주 있음 / 최근: 고양이,로오히,쿠킹덤,내스급,사기결연...",Rt) 나... 웨울이가 좋은 건 줄 알고... 에소 먹이려돈 별사탕 웨울이 다 먹였는데... 웨울... 너... 립 랭크였니...,[]
17,260228489,HyunHee k.,uaremyman,나는 아직도 머나먼 초원과 얼굴에 쏟아지는 비바람과 느낌이 다른 태양빛 아래 몸을 맡기는 것을 꿈꾼다. /베르나르 올리비에 -나는 걷는다 중에서..,"곤자왈 걷고 또 걸은 후 커피, 휴식.
과테말라 와이칸 원두도 구입. 스테이위드커피 5년단골, 지인의 추천. https://t.co/DeNIxJI6zB",[]
18,957168830,큥렁즈,baekyunee__04,"행복하자, 우리. 그거면은 다 되는 거 아니야?    #I_L1485_You",빛나는 것는 오직 배켜니 뿐 https://t.co/pXRG3AxyDY,[]
