,user_id,name,screen_name,description,text,mentions
0,192806726,Apple black,gp504,집돌이/귀찮으면 맨날 침대에서 굴러다님/보시는 것처럼 엄청 물렁합니다/크아악/MALE 헤더:서린이!,프세카 할사람,[]
1,192806726,Apple black,gp504,집돌이/귀찮으면 맨날 침대에서 굴러다님/보시는 것처럼 엄청 물렁합니다/크아악/MALE 헤더:서린이!,"회사 기숙사 장점 출근까지15초
단점 몸안좋아서 4급으로 들어왔는데 긱사 바로 앞이라고  좀만 버티면서 일하라 캄 야ㅑㅑㅑㅑ!!!!",[]
2,200682540,연어밍🏳️‍⚧️,yeoncomi,"🇨🇦|🏳️‍🌈Q|NB|T🏳️‍⚧️ |P|KST|뒷계: @yeoncomi_bad|캐나다🦌|개발|빵도리|아다시마|#TransRightsAreHumanRights|Socialist, Leftie, NDP/NPD, Immigrant",@Nov3mb3rRain 마음을찍으면마음이사라저 ㅜ머재???,"[{'screen_name': 'Nov3mb3rRain', 'name': '아멜🏳️\u200d⚧️', 'id': 220561633, 'id_str': '220561633', 'indices': [0, 13]}]"
3,94266261,아일랜드,island71,꼴빠 식탐가 투덜이,내일도 어딜 가서 뭘 먹을지 다 결정. 이제 자자,[]
4,200682540,연어밍🏳️‍⚧️,yeoncomi,"🇨🇦|🏳️‍🌈Q|NB|T🏳️‍⚧️ |P|KST|뒷계: @yeoncomi_bad|캐나다🦌|개발|빵도리|아다시마|#TransRightsAreHumanRights|Socialist, Leftie, NDP/NPD, Immigrant",하인이이여럿잇는하인즈,[]
5,754141573751840768,프로불편러,procomplainerKR,니 말이 맞다고 해서 니가 개새끼가 될 권리까지 있는 건 아니거든?,"난 내가 관리하는 집 전세값 올리는 것도 법정 5% 맞춰주고, 아니면 갱신청구권 사용하는 건지 확인하고 그러는데, 이처럼 임차인 권리를 집주인이 안챙겨주면 자기 권리 안챙기겠다는 임차인의 묵시적 징징거림을 보자니 어처구니가 없다.",[]
6,864373000627290112,이래경,rky1406,,"@yulchon 
마약쟁이년과 일가  .양심없는 년과 고졸 친구년들 전원 구속 강력히  촉구함","[{'screen_name': 'yulchon', 'name': 'Yulchon', 'id': 56312956, 'id_str': '56312956', 'indices': [0, 8]}]"
7,458433202,오늘보다 내일을 아끼리라♡,jaeheetheme,2020😍💖💞,"정왕동전체  좋아지겠군!
종상향으로",[]
8,1087614622587187200,⁷호비뀨🐿 ⁷,kimcheeze4,방탄소년단💜이 좋아서 호비💜가 좋아서 자료 RT용 자료저장용💜 호비뀽🥺💜🐿 🐨🐹🐱🐿🐥🐯🐰💜🥺,"이제 약간 9시간 30븐 기다리면 댄다?!!
홉자기💜 https://t.co/Lkvgu4ndOu",[]
9,257529493,writerjung,ssoyoung0216,책을 좋아해요,브런치북 전자책출판 프로젝트 https://t.co/uIkhCJAAA7,[]
10,1153468424044990464,맨듀,zeungjeonsu,🙉 6월까지 국비 웹개발 수업,누가 보면 내가 맷님이냐고 그만 울어ㅠ 새꺄,[]
11,1153468424044990464,맨듀,zeungjeonsu,🙉 6월까지 국비 웹개발 수업,아 월간 이반지하 우리가 키우는 셀럽 맷 뭐야 누워서 듣는데 눈물 줄줄나는데요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,[]
12,257529493,writerjung,ssoyoung0216,책을 좋아해요,예쁜 꽃이 피는 봄이 와서 감사합니다.🌺 (출처 : 인생사용집 | 블로그) https://t.co/AjSg0mli3E,[]
13,1332223357106831360,KSH_216,216_ksh,,이처럼 다채로운 사람은 처음 https://t.co/S8eOrQLImj,[]
